Role,Skills
Data Analyst,"['python', 'sql', 'excel', 'power bi']"
Data Scientist,"['python', 'machine learning', 'statistics', 'deep learning']"
Data Engineer,"['python', 'sql', 'etl', 'big data']"
Machine Learning Engineer,"['python', 'machine learning', 'deep learning', 'tensor flow']"
AI Engineer,"['python', ' deep learning', 'nlp', 'ai']"
Frontend Developer,"['html', 'css', 'javascript', 'react']"
Backend Developer,"['python', 'django', 'sql', 'apis']"
Full Stack Developer,"['html', 'css', 'javascript', 'python']"
Software Engineer,"['java', 'dsa', 'oop', 'system designer']"
Mobile App Developer,"['java', 'kotlin', 'android', 'apis']"
Blockchain Developer,"['blockchain', 'solidity', 'cryptography']"
DevOps Engineer,"['docker', 'kubernetes', 'ci/cd', 'linux']"
Cloud Engineer,"['aws', 'azure', 'cloud', 'networking']"
Network Engineer,"['networking', 'routing', 'linux']"
Cybersecurity Analyst,"['security', 'networking', 'ethical hacking']"
UI/UX Designer,"['figma', 'wireframing', 'user research']"
Graphic Designer,"['photoshop', 'illustrator', 'creativity']"
Businees Analyst,"['excel', 'sql', 'communication', 'analysis']"
QA Engineer,"['testing', 'automation', 'selenium']"
Technical Support Engineer,"['troubleshooting', 'networking', 'customer support']"
